Date,Open,High,Low,Close,Adj Close,Volume
1999-10-12,18.132473,18.152140,17.168818,17.306482,11.111426,8050192
1999-10-13,17.286816,17.345816,16.637823,16.736155,10.745254,7230268
1999-10-14,16.893486,17.267149,16.519823,17.011484,10.922025,7430164
1999-10-15,16.618156,16.893486,16.244493,16.559156,10.631618,5277069
1999-10-18,16.519823,16.814821,16.283827,16.460823,10.568480,3569847
1999-10-19,17.070484,17.463814,16.696821,16.873819,10.833638,5428660
1999-10-20,17.227816,17.621145,17.188482,17.621145,11.313457,7372642
1999-10-21,17.503147,17.660479,17.345816,17.542480,11.262951,6411297
1999-10-22,17.660479,18.093140,17.660479,17.916142,11.502852,3756396
1999-10-25,17.857143,18.211140,17.345816,17.424480,11.187181,4408204
1999-10-26,17.621145,17.699812,17.129484,17.208151,11.048291,3758621
1999-10-27,17.227816,17.542480,16.873819,17.306482,11.111426,4596659
1999-10-28,17.385147,18.309471,17.385147,18.191473,11.679622,6095086
1999-10-29,18.643801,19.351793,18.584803,19.037130,12.222571,6096675
1999-11-01,18.958464,18.958464,18.565134,18.761801,12.045796,2950137
1999-11-02,18.761801,19.076464,18.447138,18.879799,12.121554,3975042
1999-11-03,18.801132,18.938799,18.604467,18.761801,12.045796,2745474
1999-11-04,18.801132,18.801132,17.503147,17.857143,11.464978,4824840
1999-11-05,18.014475,18.388138,17.463814,17.581812,11.288196,7792456
1999-11-08,17.601479,17.857143,17.463814,17.699812,11.363961,3188487
1999-11-09,17.857143,17.896477,17.109818,17.267149,11.086173,4852170
1999-11-10,16.991819,17.345816,16.795155,16.932819,10.871523,7356434
1999-11-11,16.834488,16.952486,16.775488,16.932819,10.871523,6576553
1999-11-12,17.227816,17.345816,16.795155,16.991819,10.909407,4449200
1999-11-15,16.873819,17.247482,16.873819,17.149151,11.010413,5920932
1999-11-16,17.149151,17.935808,17.109818,17.778477,11.414465,6011187
1999-11-17,17.581812,17.837477,17.483480,17.739143,11.429672,4272821
1999-11-18,17.739143,18.447138,17.463814,18.388138,11.847833,4122184
1999-11-19,18.486469,18.486469,17.778477,17.955475,11.569057,4761280
1999-11-22,17.778477,17.798143,17.149151,17.149151,11.049525,4510218
1999-11-23,17.306482,18.034142,17.188482,17.660479,11.378985,4309050
1999-11-24,17.817810,17.896477,17.267149,17.660479,11.378985,4447293
1999-11-26,17.581812,17.581812,17.306482,17.385147,11.201581,1402769
1999-11-29,17.306482,17.522814,17.090151,17.090151,11.011512,3569530
1999-11-30,17.149151,18.132473,17.109818,17.778477,11.455012,5087025
1999-12-01,18.250471,18.466803,18.191473,18.270138,11.771807,7031643
1999-12-02,18.250471,18.702801,18.211140,18.496304,11.917526,5128974
1999-12-03,18.801132,19.430458,18.761801,18.997797,12.240648,6554943
1999-12-06,19.115795,19.115795,18.191473,18.368471,11.835161,4319855
1999-12-07,17.857143,18.132473,17.306482,17.660479,11.378985,6355682
1999-12-08,17.719479,18.407804,17.660479,18.407804,11.860507,4187333
1999-12-09,18.388138,18.742132,18.034142,18.702801,12.050575,4802594
1999-12-10,18.879799,19.194462,18.486469,18.643801,12.012561,3628958
1999-12-13,18.722467,19.155128,18.250471,18.678217,12.034730,4225787
1999-12-14,18.329138,18.486469,18.152140,18.368471,11.835161,4654499
1999-12-15,18.368471,18.486469,18.152140,18.289804,11.784476,4628439
1999-12-16,18.368471,18.368471,17.542480,18.073475,11.645088,4914459
1999-12-17,18.329138,18.348804,17.719479,17.739143,11.429672,6928676
1999-12-20,18.093140,18.486469,18.014475,18.201305,11.727452,3990297
1999-12-21,18.309471,18.624134,17.994808,18.348804,11.822490,3374083
1999-12-22,18.466803,18.545469,18.073475,18.093140,11.657757,3372811
1999-12-23,18.250471,19.155128,18.250471,18.742132,12.075914,3478957
1999-12-27,18.879799,19.509125,18.604467,19.194462,12.367360,3718578
1999-12-28,19.312462,20.354782,19.312462,20.197451,13.013604,3344209
1999-12-29,20.118786,20.118786,19.568125,20.020452,12.899565,2854480
1999-12-30,20.138453,20.197451,19.784456,20.177786,13.000935,1725654
1999-12-31,20.138453,20.453115,19.843454,20.453115,13.178331,1426286
2000-01-03,20.433449,20.453115,19.509125,19.666456,12.671476,3401096
2000-01-04,19.233795,19.646790,18.565134,18.860132,12.151942,5350163
2000-01-05,18.860132,18.958464,18.407804,18.486469,11.911183,6204409
2000-01-06,18.407804,19.450127,17.896477,19.371460,12.481409,9770125
2000-01-07,19.371460,20.354782,19.076464,20.138453,12.975590,6348055
2000-01-10,20.138453,20.531780,20.040119,20.335115,13.102307,3909258
2000-01-11,20.256451,20.276117,19.804123,19.863121,12.798193,3511690
2000-01-12,19.882788,20.610447,19.863121,20.315451,13.089632,4023666
2000-01-13,20.197451,20.728445,20.138453,20.531780,13.229018,3347070
2000-01-14,20.531780,20.531780,19.823790,20.079453,12.937576,4831831
2000-01-18,19.823790,19.961454,18.938799,19.745123,12.722164,7745739
2000-01-19,19.627125,19.981119,19.017464,19.096130,12.304005,5754087
